epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,2710.82,1.13779,1.60972,0.61936,0.88945,0.80815,0.39965,0.49878,0.29376,0.81767,0.38235,0.49297,0.25061,1.37503,2.52583,0.79108,0.9261,0.000533064,0.000533064,0.000533064
101,2733.12,1.09328,1.42112,0.59203,0.85541,0.80815,0.39965,0.49878,0.29376,0.81767,0.38235,0.49297,0.25061,1.37503,2.52583,0.79108,0.9261,0.000515,0.000515,0.000515
102,2755.8,1.17317,1.57268,0.60689,0.84695,0.75251,0.41349,0.49522,0.29595,0.75683,0.40925,0.50433,0.24752,1.37901,2.52048,0.78467,0.92645,0.000497153,0.000497153,0.000497153
103,2779.78,1.18817,1.68823,0.61587,0.83722,0.75251,0.41349,0.49522,0.29595,0.75683,0.40925,0.50433,0.24752,1.37901,2.52048,0.78467,0.92645,0.000479531,0.000479531,0.000479531
104,2802.92,1.17995,1.55487,0.6416,0.85183,0.75251,0.41349,0.49522,0.29595,0.75683,0.40925,0.50433,0.24752,1.37901,2.52048,0.78467,0.92645,0.000462142,0.000462142,0.000462142
105,2826.31,1.17799,1.56519,0.61151,0.84015,0.75251,0.41349,0.49522,0.29595,0.75683,0.40925,0.50433,0.24752,1.37901,2.52048,0.78467,0.92645,0.000444994,0.000444994,0.000444994
106,2866.69,1.11063,1.48082,0.58948,0.85577,0.77877,0.42022,0.49671,0.30207,0.7663,0.41349,0.50817,0.25601,1.33657,2.49846,0.75735,0.92158,0.000428093,0.000428093,0.000428093
107,2928.19,1.0797,1.46317,0.59422,0.84622,0.77877,0.42022,0.49671,0.30207,0.7663,0.41349,0.50817,0.25601,1.33657,2.49846,0.75735,0.92158,0.000411447,0.000411447,0.000411447
108,2988.02,1.05434,1.43983,0.57803,0.85113,0.77877,0.42022,0.49671,0.30207,0.7663,0.41349,0.50817,0.25601,1.33657,2.49846,0.75735,0.92158,0.000395064,0.000395064,0.000395064
109,3046.95,1.31009,1.88038,0.69785,0.88172,0.77877,0.42022,0.49671,0.30207,0.7663,0.41349,0.50817,0.25601,1.33657,2.49846,0.75735,0.92158,0.00037895,0.00037895,0.00037895
110,3109.75,1.23755,1.69024,0.62356,0.86221,0.7978,0.41522,0.49894,0.30982,0.80731,0.40484,0.50756,0.25638,1.31613,2.49847,0.73191,0.92031,0.000363114,0.000363114,0.000363114
111,3169.82,1.15842,1.53584,0.6065,0.86882,0.7978,0.41522,0.49894,0.30982,0.80731,0.40484,0.50756,0.25638,1.31613,2.49847,0.73191,0.92031,0.000347561,0.000347561,0.000347561
112,3229.02,1.06306,1.38144,0.55949,0.84811,0.7978,0.41522,0.49894,0.30982,0.80731,0.40484,0.50756,0.25638,1.31613,2.49847,0.73191,0.92031,0.000332298,0.000332298,0.000332298
113,3261.1,1.0738,1.35585,0.5655,0.85014,0.7978,0.41522,0.49894,0.30982,0.80731,0.40484,0.50756,0.25638,1.31613,2.49847,0.73191,0.92031,0.000317333,0.000317333,0.000317333
114,3283.73,1.13459,1.55504,0.59401,0.84869,0.79907,0.42388,0.5,0.31431,0.74955,0.41423,0.50112,0.25345,1.3148,2.51046,0.72289,0.92296,0.000302672,0.000302672,0.000302672
115,3306.89,1.22896,1.68599,0.64517,0.83933,0.79907,0.42388,0.5,0.31431,0.74955,0.41423,0.50112,0.25345,1.3148,2.51046,0.72289,0.92296,0.000288321,0.000288321,0.000288321
116,3327.96,1.08884,1.46565,0.57467,0.85722,0.79907,0.42388,0.5,0.31431,0.74955,0.41423,0.50112,0.25345,1.3148,2.51046,0.72289,0.92296,0.000274287,0.000274287,0.000274287
117,3352.5,1.2225,1.771,0.63641,0.85051,0.79907,0.42388,0.5,0.31431,0.74955,0.41423,0.50112,0.25345,1.3148,2.51046,0.72289,0.92296,0.000260575,0.000260575,0.000260575
118,3375.37,1.05719,1.46896,0.56778,0.85673,0.79816,0.4308,0.50701,0.31727,0.82219,0.39965,0.50296,0.25954,1.30198,2.4839,0.71583,0.91894,0.000247192,0.000247192,0.000247192
119,3397.26,1.02989,1.35613,0.55708,0.843,0.79816,0.4308,0.50701,0.31727,0.82219,0.39965,0.50296,0.25954,1.30198,2.4839,0.71583,0.91894,0.000234143,0.000234143,0.000234143
120,3425.9,1.04133,1.37117,0.55206,0.83571,0.79816,0.4308,0.50701,0.31727,0.82219,0.39965,0.50296,0.25954,1.30198,2.4839,0.71583,0.91894,0.000221435,0.000221435,0.000221435
121,3464.37,1.23103,1.75165,0.62932,0.84865,0.79816,0.4308,0.50701,0.31727,0.82219,0.39965,0.50296,0.25954,1.30198,2.4839,0.71583,0.91894,0.000209073,0.000209073,0.000209073
122,3485.9,1.11145,1.62422,0.60798,0.85762,0.82245,0.4308,0.51472,0.32257,0.7889,0.40138,0.50563,0.25925,1.28879,2.45589,0.71316,0.91418,0.000197062,0.000197062,0.000197062
123,3507.16,0.98204,1.38555,0.5356,0.84492,0.82245,0.4308,0.51472,0.32257,0.7889,0.40138,0.50563,0.25925,1.28879,2.45589,0.71316,0.91418,0.000185408,0.000185408,0.000185408
